model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration
CrossAttentionModelTFG;env_permit;0;no-mask;1,6014739905849733;2,8730889945030214;0,15469892025934556;0,25600347721068784;TAA
CrossAttentionModelTFG;env_permit;0;no-mask;1,9382251509287602;6,309793822050095;6,28804675362329;0,32330337056623104;ATT
CrossAttentionModelTFG;env_permit;0;no-mask;2,2357465022847167;13,359106132984161;13,61791409028082;0,34640544382641486;TAT
CrossAttentionModelTFG;env_permit;1;no-mask;1,9405641976987347;3,5929739097441273;0,49114230660017566;0,422413223958832;TAA
CrossAttentionModelTFG;env_permit;1;no-mask;2,151120475013329;3,6325878773148603;0,4895213931901205;0,4400793416696309;ATT
CrossAttentionModelTFG;env_permit;1;no-mask;2,2391424581622874;3,6572056490135942;0,4967058120596492;0,44602266463661877;TAT
CrossAttentionModelTFG;env_permit;2;no-mask;1,9546269060868453;3,1434882105320923;0,6606100091114064;0,4860292507754567;TAA
CrossAttentionModelTFG;env_permit;2;no-mask;2,1042375986860167;3,2463430877803834;0,6947999026498641;0,5424668447712664;ATT
CrossAttentionModelTFG;env_permit;2;no-mask;2,2514509082602494;3,186078580775002;0,6721052293292353;0,5268524053014447;TAT
CrossAttentionModelTFG;env_permit;3;no-mask;1,7567816561882428;2,719506038292762;0,1144805429819917;0,2547754200495025;TAA
CrossAttentionModelTFG;env_permit;3;no-mask;1,6433405073553216;2,5850260190425383;0,122135675204081;0,2622798375541671;ATT
CrossAttentionModelTFG;env_permit;3;no-mask;1,8863529164684556;2,710712336244122;0,11935430340591048;0,26897516497828095;TAT
CrossAttentionModelTFG;env_permit;4;no-mask;2,5961223890225296;4,296926297968434;0,6980918060830702;0,5792310407847868;TAA
CrossAttentionModelTFG;env_permit;4;no-mask;2,353841918889791;4,038784738029203;0,6339996976848997;0,5386833460647328;ATT
CrossAttentionModelTFG;env_permit;4;no-mask;2,411197893703233;4,020107038559452;0,6339313564792401;0,5459001383760086;TAT
CrossAttentionModelTFG;Helpdesk;0;no-mask;2,877499602355209;4,384859204292297;0,08048417124109199;0,24757538388217734;TAA
CrossAttentionModelTFG;Helpdesk;0;no-mask;2,90548212859066;4,39616977434892;0,07040874497481757;0,23253122759800332;ATT
CrossAttentionModelTFG;Helpdesk;0;no-mask;2,8562057737922957;4,394635358957144;0,07447589786504122;0,2353757906023014;TAT
CrossAttentionModelTFG;Helpdesk;1;no-mask;2,8351392493696475;4,461381022604356;0,07441444902015112;0,22995552800723712;TAA
CrossAttentionModelTFG;Helpdesk;1;no-mask;3,043893232589042;4,394697969189342;0,07527253437083914;0,24013481287523133;ATT
CrossAttentionModelTFG;Helpdesk;1;no-mask;3,0515453499697505;4,5593801736831665;0,07750023872412956;0,23769902699844317;TAT
CrossAttentionModelTFG;Helpdesk;2;no-mask;2,8613067799202363;4,50734363669998;0,07880360738535261;0,2444835503757658;TAA
CrossAttentionModelTFG;Helpdesk;2;no-mask;2,9374646791677326;4,348844129249362;0,0712618071859859;0,22960220448065494;ATT
CrossAttentionModelTFG;Helpdesk;2;no-mask;3,0706049736666468;4,464962403832769;0,07360514228125688;0,23987127127538874;TAT
CrossAttentionModelTFG;Helpdesk;3;no-mask;3,1506993910674033;4,476361083692732;0,07116392580395252;0,24196953351339173;TAA
CrossAttentionModelTFG;Helpdesk;3;no-mask;4,557100128361938;4,472980955142858;0,14215595097718137;0,3538855292684398;ATT
CrossAttentionModelTFG;Helpdesk;3;no-mask;4,583479685898329;4,5521932446628535;0,12378709393758329;0,32231941266864256;TAT
CrossAttentionModelTFG;Helpdesk;4;no-mask;2,676063586270511;4,510634698482774;0,06822525795141537;0,21631299200049345;TAA
CrossAttentionModelTFG;Helpdesk;4;no-mask;3,044332985903431;4,463780722632912;0,07952749121456834;0,2426427911301957;ATT
CrossAttentionModelTFG;Helpdesk;4;no-mask;3,3269495747066222;4,584324703823706;0,0786457219337153;0,24446519491320431;TAT
CrossAttentionModelTFG;SEPSIS;0;no-mask;56,21891234419684;32,18833062797785;2,086775727748599;1,399822539604067;TAA
CrossAttentionModelTFG;SEPSIS;0;no-mask;57,78968304056194;32,010582000017166;2,0750814517989107;1,3865865405893592;ATT
CrossAttentionModelTFG;SEPSIS;0;no-mask;52,260837950640465;31,08396377786994;2,047027049881435;1,374269173047641;TAT
