model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration;time value
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;1,8630648868836857;3,0354296209812164;0,1528685832662942;0,26872415156412244;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;1,9554319997777914;3,0835493564605714;0,14909197952520842;0,2732406481346092;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;2,3044252260502116;2,751858829021454;0,14407377529681606;0,3069109885647781;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;1,8983266882782892;2,632798978328705;0,14484854592228563;0,2738218242197781;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;5,761850119536924;3,5961454229092036;0,9951785250104279;0,8026402362290597;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;2,0063512128622003;3,5729127819613207;0,4936523435258994;0,4259624426803538;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,0014381806553656;3,0396056373914084;0,626601666255639;0,49776267701013477;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,439276259583791;3,124634126591128;0,6110731069451534;0,5139512535227252;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;1,6202766169271494;2,3744535383678254;0,11123339300900538;0,25694167587497624;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;1,8696915949010509;2,3762435444420382;0,10717968477890337;0,26458812623424954;TAA;times+durations
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,8456264150209045;4,079817903378317;0,6475159111372477;0,5910697343885641;TAA;durations
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,686157490774985;3,8009377605011387;0,5714534638709267;0,55675183836271;TAA;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;0;no-mask;3,8248521595734815;4,377103068645184;0,1542613061366611;0,33074742987594635;TAA;durations
AllSelfCrossAttentionModelTFG;Helpdesk;0;no-mask;3,178706851170973;3,765208744635949;0,0885322541390092;0,25892773794417645;TAA;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;1;no-mask;2,665070473205731;4,035314285977287;0,06441254286179927;0,21980219817523677;TAA;durations
AllSelfCrossAttentionModelTFG;Helpdesk;1;no-mask;2,470747151135786;3,763729575257864;0,06262091782640983;0,21548459632723324;TAA;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;2;no-mask;2,5136849621662902;4,109190550318525;0,06884868055540498;0,22260842599565658;TAA;durations
AllSelfCrossAttentionModelTFG;Helpdesk;2;no-mask;2,6127430788564285;3,693003805868465;0,08338797567896279;0,24820301454010787;TAA;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;3;no-mask;3,0889889075143193;4,197835562061462;0,07992136040067507;0,25908682036526365;TAA;durations
AllSelfCrossAttentionModelTFG;Helpdesk;3;no-mask;3,380390887820993;4,085572094910006;0,0871898435288412;0,27599189466716234;TAA;times+durations
AllSelfCrossAttentionModelTFG;Helpdesk;4;no-mask;2,5448652771356897;3,918059644121561;0,06734338710623342;0,2234781726184407;TAA;durations
AllSelfCrossAttentionModelTFG;Helpdesk;4;no-mask;2,313012110325163;3,6845394859773033;0,056220604363914774;0,19875384149553801;TAA;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;0;no-mask;49,497481130720715;31,48704231530428;1,6380772640035484;1,2406486612399998;TAA;durations
AllSelfCrossAttentionModelTFG;SEPSIS;0;no-mask;59,38778828837037;32,46723374724388;2,18199286401366;1,4219106642152526;TAA;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;1;no-mask;29,14464251474555;31,811774722627693;0,4049669018108365;0,5746577424428262;TAA;durations
AllSelfCrossAttentionModelTFG;SEPSIS;1;no-mask;31,561933296367556;31,0623345477087;0,5436973291581079;0,6990265485198527;TAA;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;2;no-mask;22,082370907912562;30,386022528203632;0,30516558132058336;0,470279206387596;TAA;durations
AllSelfCrossAttentionModelTFG;SEPSIS;2;no-mask;21,560568105252425;31,354985016469772;0,3410064447401821;0,46070332168394873;TAA;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;3;no-mask;20,445144201474875;25,70969613471834;0,5253448772573059;0,5944039432926318;TAA;durations
AllSelfCrossAttentionModelTFG;SEPSIS;3;no-mask;16,434662001225963;25,836703835147443;0,45739388948109405;0,517957779024004;TAA;times+durations
AllSelfCrossAttentionModelTFG;SEPSIS;4;no-mask;21,643480917644546;26,05058070538575;0,553748838946251;0,6740761952911787;TAA;durations
AllSelfCrossAttentionModelTFG;SEPSIS;4;no-mask;24,391577449274703;25,94264341883091;0,6051918426735237;0,7313774666041346;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;53,76790898653006;81,13565524804939;0,2447799559533583;0,40399489365625463;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;0;no-mask;83,73172375687118;84,61985801956028;0,3633914142975321;0,5665012691187684;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;61,400175322663216;90,30603410629999;0,29398390012048325;0,45256260918852476;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;1;no-mask;60,58651942937147;82,70499344780332;0,27502736232683156;0,44921150596901066;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;45,71257896696122;89,45430638449533;0,32235760825068505;0,4273770143677969;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;2;no-mask;60,31230661297345;99,27600925990514;0,36307951050254406;0,49474271295776784;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;89,2537021012237;96,16371313730876;0,5519352150265423;0,6646996632778585;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;3;no-mask;82,78988887157585;98,23526393665986;0,48957802037256054;0,6290398328265419;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;58,57969934290106;85,11298990249634;0,2885622092007631;0,4449162167151261;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_closed_problems;4;no-mask;63,90386121236917;86,82110635439555;0,3230864595026629;0,4838772103783082;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;27,28407043510997;10,615787087000294;1,530130362933063;1,0541905319579872;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;0;no-mask;28,282971991437094;10,691858945470868;1,5891535910597991;1,0685541291253324;TAA;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;9,81192525048763;9,170889175937162;0,3289448644965214;0,48165220784906554;TAA;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2013_incidents;1;no-mask;11,557629822760598;9,301628824985228;0,2690569386515531;0,4815866572145282;TAA;times+durations
